mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.05415678024292,0.05446046354328508,0.00773310661315918,0.007086081645234476,logistic,0.0001,200,[100],adaptive,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([100]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.5294,0.5056,0.5566,0.5238,0.5206,0.5272,0.016678609054714348,686
11.964360427856445,0.10155271506838028,0.007353830337524414,0.007050268746076739,logistic,0.0001,200,[100],adaptive,0.011,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([100]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.011, 'solver': 'sgd'}",0.6034,0.6002,0.5986,0.5926,0.5976,0.59848,0.003536325776848058,372
11.857441759109497,0.09863213308822892,0.00937795639038086,0.007657070232046244,logistic,0.0001,200,[100],adaptive,0.020999999999999998,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([100]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.020999999999999998, 'solver': 'sgd'}",0.6484,0.6456,0.6288,0.63,0.6404,0.63864,0.007978370761001248,238
1.0849093914031982,0.27277841496083055,0.006253576278686524,0.0076590377911330285,logistic,0.0001,200,[150],constant,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.4966,0.5038,0.501,0.535,0.5,0.50728,0.014049967971493757,815
9.059906959533691,6.566011327717104,0.009373331069946289,0.00765329486848349,logistic,0.0001,200,[150],constant,0.011,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'constant', 'learning_rate_init': 0.011, 'solver': 'sgd'}",0.5,0.6202,0.5974,0.5,0.5962,0.56276,0.05195219340894087,465
14.448230123519897,0.15250022938355898,0.015633058547973634,7.229077781008616e-06,logistic,0.0001,200,[150],constant,0.020999999999999998,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'constant', 'learning_rate_init': 0.020999999999999998, 'solver': 'sgd'}",0.6508,0.6512,0.6222,0.6238,0.6354,0.6366799999999999,0.012549167303052436,269
0.9708829402923584,0.044348519339705704,0.013782262802124023,0.007941423707971546,logistic,0.0001,200,[150],invscaling,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'invscaling', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.5052,0.5,0.5,0.518,0.5,0.50464,0.0069769907553328524,843
1.1078619003295898,0.07645060858670874,0.017531347274780274,0.0037986294859871923,logistic,0.0001,200,[150],invscaling,0.011,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'invscaling', 'learning_rate_init': 0.011, 'solver': 'sgd'}",0.537,0.5154,0.506,0.5426,0.5022,0.52064,0.016320000000000005,730
1.0784573078155517,0.03840398820938341,0.009583616256713867,0.007421441369668742,logistic,0.0001,200,[150],invscaling,0.020999999999999998,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'invscaling', 'learning_rate_init': 0.020999999999999998, 'solver': 'sgd'}",0.5476,0.5568,0.5274,0.5394,0.5294,0.54012,0.011058101102811451,605
5.111925506591797,0.2907585022256433,0.0062482357025146484,0.007652494902654514,logistic,0.0001,200,[150],adaptive,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.5486,0.5784,0.5076,0.5204,0.538,0.5386000000000001,0.02439934425348353,617
